peaks minus_1 plus_1
chr1:667847-669442 17 57
chr1:671129-672410 4 8
chr1:752200-753481 0 15
chr1:754809-756090 1 13
chr1:766917-768198 1 7
chr1:768978-770259 3 18
chr1:788162-789443 6 33
chr1:788709-789990 11 32
chr1:817448-819058 13 7
chr1:857860-859141 1 42
chr1:870561-871842 7 32
chr1:871587-872868 24 7
chr1:874008-875289 24 16
chr1:878213-879494 43 12
chr1:880364-881645 6 5
chr1:888648-889929 6 19
chr1:901640-902974 104 88
chr1:918015-919296 13 13
chr1:935025-936306 7 2
chr1:935768-937049 8 23
chr1:938382-939663 5 24
chr1:941095-942663 78 33
chr1:956578-958036 75 72
chr1:959539-960935 117 81
chr1:981516-983116 45 17
chr1:982876-984157 12 13
chr1:985156-986521 13 8
chr1:986630-987911 11 24
chr1:988710-989991 17 11
chr1:989501-990782 45 15
chr1:994371-995652 2 0
chr1:998375-999814 76 142
chr1:998956-1000291 48 83
chr1:1004780-1006128 25 49
chr1:1008199-1009660 84 89
chr1:1055592-1056873 11 1
chr1:1093201-1094724 48 6
chr1:1097629-1098910 15 67
chr1:1099259-1100540 14 11
chr1:1099729-1101010 48 20
chr1:1117616-1118897 14 12
chr1:1135138-1136553 3 25
chr1:1136132-1137413 7 35
chr1:1143252-1144533 4 1
chr1:1148353-1149634 32 13
chr1:1152691-1153972 1 16
chr1:1165966-1167247 0 8
chr1:1172878-1174550 103 84
chr1:1177984-1179265 14 5
chr1:1180514-1181795 26 4
chr1:1199504-1201039 56 132
chr1:1206125-1207406 23 1
chr1:1209172-1210518 45 22
chr1:1221581-1222862 41 18
chr1:1237312-1238593 5 8
chr1:1240442-1241723 25 26
chr1:1247803-1249084 4 39
chr1:1261869-1263150 12 22
chr1:1267524-1269038 42 29
chr1:1268267-1269548 33 36
chr1:1273858-1275188 7 11
chr1:1279689-1281010 228 141
chr1:1295374-1296655 20 13
chr1:1314113-1315394 0 0
chr1:1322312-1323853 82 53
chr1:1323139-1324420 8 17
chr1:1326037-1327318 22 19
chr1:1333836-1335478 95 56
chr1:1340951-1342232 25 0
chr1:1341900-1343181 35 11
chr1:1356421-1357703 6 5
chr1:1357115-1358396 31 20
chr1:1365617-1366898 14 15
chr1:1369052-1370399 50 49
chr1:1396347-1397628 6 11
chr1:1412938-1414219 20 3
chr1:1454538-1455870 17 10
chr1:1476496-1477777 16 42
chr1:1558701-1559982 6 60
chr1:1562671-1564387 60 46
chr1:1570588-1571869 1 9
chr1:1574994-1576275 0 2
chr1:1606154-1607435 1 0
chr1:1650716-1651997 0 5
chr1:1655190-1656471 0 1
chr1:1668587-1669868 3 7
chr1:1669448-1670729 8 7
chr1:1684886-1686325 132 62
chr1:1687622-1688941 16 21
chr1:1764342-1765699 6 35
chr1:1838457-1839738 2 6
chr1:1846874-1848155 11 30
chr1:1859067-1860348 12 28
chr1:1870641-1871922 2 5
chr1:1900519-1901800 18 1
chr1:1903308-1904680 19 35
chr1:1909428-1910709 2 12
chr1:1912395-1913676 1 6
chr1:1919720-1921349 13 44
chr1:1925949-1927230 1 18
chr1:1931673-1932954 6 6
chr1:1935063-1936344 0 4
chr1:1945470-1947250 49 5
chr1:1967871-1969152 25 15
chr1:1968275-1969556 1 5
chr1:1984223-1985504 5 20
chr1:1985348-1986629 2 5
chr1:1986277-1987558 11 0
chr1:2006732-2008013 15 19
chr1:2007171-2008452 9 28
chr1:2019380-2021076 104 74
chr1:2028838-2030531 77 125
chr1:2042933-2044218 38 0
chr1:2046300-2047927 14 42
chr1:2056987-2058268 11 51
chr1:2099916-2101197 5 28
chr1:2101665-2102946 6 0
chr1:2104349-2105630 6 15
chr1:2108940-2110221 6 7
chr1:2111362-2112846 45 60
chr1:2116238-2117519 19 8
chr1:2167794-2169075 4 11
chr1:2183046-2184327 23 11
chr1:2186708-2188235 34 126
chr1:2211191-2212685 7 22
chr1:2221607-2222921 27 35
chr1:2224093-2225403 28 8
chr1:2229369-2230650 16 6
chr1:2237985-2239266 19 9
chr1:2247272-2248553 8 7
chr1:2265532-2266813 25 35
chr1:2266323-2267604 16 33
chr1:2316142-2317423 16 34
chr1:2322596-2323877 20 0
chr1:2364611-2365892 13 26
chr1:2382646-2384032 285 455
chr1:2420938-2422219 14 37
chr1:2421659-2422940 6 5
chr1:2429824-2431586 118 87
chr1:2440467-2441748 4 39
chr1:2446316-2447597 4 5
chr1:2448623-2450103 30 42
chr1:2450911-2452192 41 4
chr1:2451379-2452660 51 12
chr1:2481459-2482740 23 11
chr1:2487392-2488673 11 2
chr1:2493964-2495245 19 35
chr1:2501083-2502364 2 10
chr1:2508573-2509854 42 52
chr1:2509182-2510575 27 48
chr1:2536546-2537827 29 13
chr1:2537572-2538853 17 73
chr1:2576113-2577549 29 30
chr1:2729321-2730655 72 39
chr1:2731693-2732974 3 1
chr1:2742837-2744118 16 7
chr1:2776788-2778069 28 24
chr1:2790405-2792056 56 22
chr1:2803354-2804635 7 14
chr1:2818172-2819453 7 0
chr1:2819853-2821134 28 7
chr1:2824495-2825984 67 26
chr1:2877690-2878971 11 5
chr1:2890473-2891891 10 70
chr1:2896887-2898168 31 8
chr1:2897651-2898932 2 20
chr1:2916487-2917768 15 17
chr1:2948915-2950196 19 18
chr1:2978614-2979895 9 28
chr1:3003319-3004819 24 22
chr1:3017469-3018750 5 32
chr1:3037734-3039125 89 6
chr1:3047377-3048658 0 9
chr1:3080549-3081864 19 55
chr1:3081144-3082425 22 18
chr1:3081927-3083208 17 30
chr1:3088081-3089362 13 52
